year,round,win1,win2,win3,win4,win5,win6,bonus,sum
2006,174,13,14,18,22,35,39,16,141
2006,173,3,9,24,30,33,34,18,133
2006,172,4,19,21,24,26,41,35,135
2006,171,4,16,25,29,34,35,1,143
2006,170,2,11,13,15,31,42,10,114
2006,169,16,27,35,37,43,45,19,203
2006,168,3,10,31,40,42,43,30,169
2006,167,24,27,28,30,36,39,4,184
2006,166,9,12,27,36,39,45,14,168
2006,165,5,13,18,19,22,42,31,119
2006,164,6,9,10,11,39,41,27,116
2006,163,7,11,26,28,29,44,16,145
2006,162,1,5,21,25,38,41,24,131
2005,161,22,34,36,40,42,45,44,219
2005,160,3,7,8,34,39,41,1,132
2005,159,1,18,30,41,42,43,32,175
2005,158,4,9,13,18,21,34,7,99
2005,157,19,26,30,33,35,39,37,182
2005,156,5,18,28,30,42,45,2,168
2005,155,16,19,20,32,33,41,4,161
2005,154,6,19,21,35,40,45,20,166
2005,153,3,8,11,12,13,36,33,83
2005,152,1,5,13,26,29,34,43,108
2005,151,1,2,10,13,18,19,15,63
2005,150,2,18,25,28,37,39,16,149
2005,149,2,11,21,34,41,42,27,151
2005,148,21,25,33,34,35,36,17,184
2005,147,4,6,13,21,40,42,36,126
2005,146,2,19,27,35,41,42,25,166
2005,145,2,3,13,20,27,44,9,109
2005,144,4,15,17,26,36,37,43,135
2005,143,26,27,28,42,43,45,8,211
2005,142,12,16,30,34,40,44,19,176
2005,141,8,12,29,31,42,43,2,165
2005,140,3,13,17,18,19,28,8,98
2005,139,9,11,15,20,28,43,13,126
2005,138,10,11,27,28,37,39,19,152
2005,137,7,9,20,25,36,39,15,136
2005,136,2,16,30,36,41,42,11,167
2005,135,6,14,22,28,35,39,16,144
2005,134,3,12,20,23,31,35,43,124
2005,133,4,7,15,18,23,26,13,93
2005,132,3,17,23,34,41,45,43,163
2005,131,8,10,11,14,15,21,37,79
2005,130,7,19,24,27,42,45,31,164
2005,129,19,23,25,28,38,42,17,175
2005,128,12,30,34,36,37,45,39,194
2005,127,3,5,10,29,32,43,35,122
2005,126,7,20,22,27,40,43,1,159
2005,125,2,8,32,33,35,36,18,146
2005,124,4,16,23,25,29,42,1,139
2005,123,7,17,18,28,30,45,27,145
2005,122,1,11,16,17,36,40,8,121
2005,121,12,28,30,34,38,43,9,185
2005,120,4,6,10,11,32,37,30,100
2005,119,3,11,13,14,17,21,38,79
2005,118,3,4,10,17,19,22,38,75
2005,117,5,10,22,34,36,44,35,151
2005,116,2,4,25,31,34,37,17,133
2005,115,1,2,6,9,25,28,31,71
2005,114,11,14,19,26,28,41,2,139
2005,113,4,9,28,33,36,45,26,155
2005,112,26,29,30,33,41,42,43,201
2005,111,7,18,31,33,36,40,27,165
2005,110,7,20,22,23,29,43,1,144
2005,109,1,5,34,36,42,44,33,162
2004,108,7,18,22,23,29,44,12,143
2004,107,1,4,5,6,9,31,17,56
2004,106,4,10,12,22,24,33,29,105
2004,105,8,10,20,34,41,45,28,158
2004,104,17,32,33,34,42,44,35,202
2004,103,5,14,15,27,30,45,10,136
2004,102,17,22,24,26,35,40,42,164
2004,101,1,3,17,32,35,45,8,133
2004,100,1,7,11,23,37,42,6,121
2004,99,1,3,10,27,29,37,11,107
2004,98,6,9,16,23,24,32,43,110
2004,97,6,7,14,15,20,36,3,98
2004,96,1,3,8,21,22,31,20,86
2004,95,8,17,27,31,34,43,14,160
2004,94,5,32,34,40,41,45,6,197
2004,93,6,22,24,36,38,44,19,170
2004,92,3,14,24,33,35,36,17,145
2004,91,1,21,24,26,29,42,27,143
2004,90,17,20,29,35,38,44,10,183
2004,89,4,26,28,29,33,40,37,160
2004,88,1,17,20,24,30,41,27,133
2004,87,4,12,16,23,34,43,26,132
2004,86,2,12,37,39,41,45,33,176
2004,85,6,8,13,23,31,36,21,117
2004,84,16,23,27,34,42,45,11,187
2004,83,6,10,15,17,19,34,14,101
2004,82,1,2,3,14,27,42,39,89
2004,81,5,7,11,13,20,33,6,89
2004,80,17,18,24,25,26,30,1,140
2004,79,3,12,24,27,30,32,14,128
2004,78,10,13,25,29,33,35,38,145
2004,77,2,18,29,32,43,44,37,168
2004,76,1,3,15,22,25,37,43,103
2004,75,2,5,24,32,34,44,28,141
